"NoTicket";"Refprod";"PrixUnit";"Qte";"Remise%"
21330;11;10,67 €;4;0,00
21330;42;7,47 €;4;0,00
21330;72;26,53 €;4;0,00
21330;120;6,10 €;3;0,00
21330;121;6,86 €;4;0,00
21330;122;7,01 €;5;0,00
21330;124;7,24 €;4;0,00
21330;125;7,36 €;5;0,00
21330;127;7,62 €;4;0,00
21330;128;7,62 €;5;0,00
21330;129;9,15 €;3;0,00
21330;131;9,53 €;5;0,00
21330;132;9,72 €;3;0,00
21330;133;9,91 €;4;0,00
21330;134;10,10 €;5;0,00
21330;135;10,67 €;3;0,00
21330;136;10,67 €;4;0,00
21330;137;10,67 €;5;0,00
21330;138;10,67 €;3;0,00
21330;139;11,43 €;4;0,00
21330;140;11,43 €;5;0,00
21330;141;11,81 €;3;0,00
21330;142;3,43 €;4;0,00
21331;14;14,18 €;4;0,00
21331;51;32,32 €;3;0,00
21332;41;5,79 €;4;0,00
21332;51;32,32 €;3;0,15
21332;65;12,81 €;4;0,15
21332;132;9,72 €;3;0,00
21332;133;9,91 €;4;0,00
21332;134;10,10 €;5;0,00
21332;135;10,67 €;3;0,00
21332;136;10,67 €;4;0,00
21332;137;10,67 €;5;0,00
21333;22;12,81 €;4;0,05
21333;57;11,89 €;4;0,05
21333;65;12,81 €;3;0,00
21334;20;49,39 €;3;0,05
21334;33;1,52 €;3;0,05
21334;60;20,73 €;3;0,00
21334;132;9,72 €;3;0,00
21334;133;9,91 €;4;0,00
21334;134;10,10 €;5;0,00
21334;135;10,67 €;3;0,00
21334;136;10,67 €;4;0,00
21334;137;10,67 €;5;0,00
21335;31;7,62 €;3;0,00
21335;39;10,98 €;3;0,00
21335;49;12,20 €;3;0,00
21336;24;2,74 €;4;0,15
21336;55;14,64 €;3;0,15
21336;74;6,10 €;3;0,00
21337;2;11,59 €;3;0,00
21337;16;10,67 €;3;0,00
21337;36;11,59 €;3;0,00
21337;59;33,54 €;3;0,00
21338;53;19,97 €;4;0,00
21338;77;7,93 €;4;0,00
21339;27;26,83 €;3;0,00
21339;39;10,98 €;4;0,00
21339;77;7,93 €;4;0,00
21340;2;11,59 €;4;0,20
21340;5;12,96 €;4;0,20
21340;32;19,51 €;4;0,20
21341;21;6,10 €;4;0,00
21341;37;15,85 €;3;0,00
21342;41;5,79 €;4;0,25
21342;57;11,89 €;4;0,00
21342;62;30,03 €;4;0,25
21342;70;9,15 €;3;0,25
21343;21;6,10 €;3;0,00
21343;35;10,98 €;3;0,00
21344;5;12,96 €;4;0,20
21344;7;18,29 €;4;0,00
21344;56;23,17 €;4;0,00
21345;16;10,67 €;4;0,25
21345;24;2,74 €;3;0,00
21345;30;15,85 €;4;0,25
21345;74;6,10 €;3;0,25
21346;2;11,59 €;3;0,00
21346;41;5,79 €;3;0,15
21347;17;23,78 €;3;0,00
21347;70;9,15 €;3;0,00
