"Refprod";"Nomprod";"NoFour";"CodeCateg";"NoSousCateg";"QteParUnit";"PrixUnit";"UnitesStock";"UnitesCom";"NiveauReap";"Indisponible"
1;"Chai";1;6;60204;"10 boîtes x 20 sacs";13,72 €;39;0;10;0
2;"Bière BIO Chinese";1;6;60205;"24 canettes";14,48 €;17;40;25;0
3;"Sirop d'anis";1;6;60206;"12 bouteilles (550 ml)";7,62 €;13;70;25;0
4;"Noix cajou BIO";2;1;10453;"(500 g)";16,77 €;53;0;0;0
5;"Chili vegan";2;1;10500;"36 boîtes";16,27 €;0;0;0;1
6;"Miel bio Granny";3;1;10720;"12 pots (8 onces)";19,06 €;120;0;25;0
7;"Riz  NewTac Organic";3;1;10715;" (1 kg)";4,25 €;15;0;10;0
8;"Northwoods Cranberry Sauce";3;11;10806;"12 pots (12 onces)";30,49 €;6;0;0;0
9;"Nuggets agneau casher";4;54;40116;"18 cartons (500 g)";73,94 €;29;0;0;1
10;"Epice Ikura";4;1;11031;"12 pots (200 g)";23,63 €;31;0;0;0
11;"Queso Bio";5;21;11152;"1";16,01 €;22;30;30;0
12;"Queso La Pastora";5;21;11286;" (500 g)";8,97 €;86;0;0;0
13;"Konbucha VEGAN";6;1;11324;"1 boîtes (2 kg)";4,57 €;24;0;5;0
14;"Tofu épicé BIO";6;1;11435;"(500 g)";17,72 €;35;0;0;0
15;"Sauce soja doux";6;1;11539;"24 bouteilles (250 ml)";11,81 €;39;0;5;0
16;"Letchee";7;1;11629;"32 boîtes (500 g)";13,30 €;29;0;10;0
17;"Sugar Ganyl  bio";7;1;11700;"20 boîtes (1 kg)";29,73 €;0;0;0;1
18;"Saumon bio Atlantique";7;43;11842;"1 kg";47,64 €;42;0;0;0
19;"Biscuits chocolatés";8;7;30322;"10 boîtes x 12 pièces";7,01 €;25;0;5;0
20;"Marmalade  Rodney Bio";8;16;12040;"30 boîtes";61,74 €;40;0;0;0
21;"Céréales Crousty complète Bio";8;7;30324;"24 cartons x 4 pièces";7,62 €;3;40;5;0
