"NoTicket";"CodeCli";"Caissier";"DateTicket"
10248;"MAHEN";5;14/6/2021 00:00:00
10249;"DIGOM";6;15/6/2021 00:00:00
10250;"DAMIC";4;18/6/2021 00:00:00
10251;"JAHEN";3;18/6/2021 00:00:00
10252;"MIGAL";4;19/6/2021 00:00:00
10253;"DAMIC";3;20/6/2021 00:00:00
10254;"SYLEJ";5;21/6/2021 00:00:00
10255;"ERDUR";9;23/6/2021 00:00:00
10256;"YAKAL";3;25/6/2021 00:00:00
10257;"NAROU";4;26/6/2021 00:00:00
10258;"CHLEC";1;27/6/2021 00:00:00
10259;"JELAZ";4;28/6/2021 00:00:00
10260;"OLLHE";4;29/6/2021 00:00:00
10261;"BEAVI";4;29/6/2021 00:00:00
10262;"ALCLE";10;2/6/2021 00:00:00
10263;"CHLEC";9;4/6/2021 00:00:00
10264;"REDAN";6;3/6/2021 00:00:00
10265;"JEBOR";10;4/6/2021 00:00:00
10266;"CLJAN";3;5/6/2021 00:00:00
10267;"ERDEB";4;8/6/2021 00:00:00
10268;"THLOP";12;9/6/2021 00:00:00
10269;"CHLAB";5;10/6/2021 00:00:00
10270;"CLJAN";1;11/6/2021 00:00:00
10271;"PHFRO";6;11/6/2021 00:00:00
10272;"ALCLE";6;12/6/2021 00:00:00
10273;"ARBLA";3;15/6/2021 00:00:00
10274;"MAHEN";6;16/6/2021 00:00:00
10275;"NISCH";1;17/6/2021 00:00:00
10276;"CHGRA";11;18/6/2021 00:00:00
10277;"CECHA";10;19/6/2021 00:00:00
10278;"JEHOU";9;22/6/2021 00:00:00
10279;"ANLER";7;23/6/2021 00:00:00
10280;"JEHOU";6;24/6/2021 00:00:00
10281;"LODUR";4;24/6/2021 00:00:00
10282;"LODUR";4;25/6/2021 00:00:00
10283;"JEMAN";3;26/6/2021 00:00:00
10284;"ANLER";4;29/6/2021 00:00:00
10285;"ARBLA";1;30/6/2021 00:00:00
10286;"ARBLA";5;30/6/2021 00:00:00
10287;"CHDUD";4;2/6/2021 00:00:00
10288;"DACOU";4;2/6/2021 00:00:00
10289;"SYBEL";7;5/6/2021 00:00:00
10290;"PAMAR";3;6/6/2021 00:00:00
10291;"BEAVI";6;6/6/2021 00:00:00
10292;"CEGRO";1;7/6/2021 00:00:00
10293;"CHGRA";1;8/6/2021 00:00:00
10294;"ALCLE";4;9/6/2021 00:00:00
10295;"MAHEN";1;12/6/2021 00:00:00
10296;"JEMAN";6;13/6/2021 00:00:00
10297;"JEBOR";5;14/6/2021 00:00:00
10298;"ERSWE";6;15/6/2021 00:00:00
10299;"CHDUD";4;16/6/2021 00:00:00
10300;"NISCH";12;19/6/2021 00:00:00
10301;"PAJAL";11;19/6/2021 00:00:00
10302;"MIGAL";4;20/6/2021 00:00:00
10303;"JELEC";7;21/6/2021 00:00:00
10304;"CHGRA";1;22/6/2021 00:00:00
10305;"PILED";10;23/6/2021 00:00:00
10306;"LODUR";1;26/6/2021 00:00:00
10307;"CHROU";9;27/6/2021 00:00:00
10308;"MALAZ";7;28/6/2021 00:00:00
10309;"ERSWE";3;2/6/2021 00:00:00
10310;"BEGAL";7;2/6/2021 00:00:00
10311;"MABON";1;2/6/2021 00:00:00
10312;"PAJAL";6;5/6/2021 00:00:00
10313;"ARBLA";5;6/6/2021 00:00:00
10314;"ALCLE";1;7/6/2021 00:00:00
10315;"GAANT";4;8/6/2021 00:00:00
10316;"ALCLE";1;9/6/2021 00:00:00
10317;"CHROU";6;12/6/2021 00:00:00
10318;"GAANT";4;13/6/2021 00:00:00
10319;"CHGRA";7;14/6/2021 00:00:00
10320;"CLJAN";5;15/6/2021 00:00:00
10321;"GAANT";3;15/6/2021 00:00:00
10322;"SORET";7;16/6/2021 00:00:00
10323;"CHBES";4;19/6/2021 00:00:00
10324;"MOELK";9;19/6/2021 00:00:00
10325;"CHBES";1;21/6/2021 00:00:00
10326;"JALES";4;22/6/2021 00:00:00
10327;"REDAN";3;23/6/2021 00:00:00
10328;"LOHUE";4;26/6/2021 00:00:00
10329;"PHFRO";4;27/6/2021 00:00:00
10330;"JEMAN";3;28/6/2021 00:00:00
10331;"FAMAR";9;28/6/2021 00:00:00
10332;"JÉBAZ";3;29/6/2021 00:00:00
10333;"CLJAN";5;30/6/2021 00:00:00
10334;"JAHEN";1;2/6/2021 00:00:00
10335;"ERSWE";7;3/6/2021 00:00:00
10336;"VIVAN";7;4/6/2021 00:00:00
10337;"ERDEB";4;5/6/2021 00:00:00
10338;"PILED";4;6/6/2021 00:00:00
10339;"JÉBAZ";1;9/6/2021 00:00:00
10340;"FAMAR";1;10/6/2021 00:00:00
10341;"OLFER";7;10/6/2021 00:00:00
10342;"ERDEB";4;11/6/2021 00:00:00
10343;"ANLER";4;12/6/2021 00:00:00
10344;"CHLAB";4;13/6/2021 00:00:00
10345;"ARBLA";3;16/6/2021 00:00:00
10346;"ALCLE";3;17/6/2021 00:00:00
10347;"ALAUV";4;18/6/2021 00:00:00
10348;"PAJAL";4;19/6/2021 00:00:00
10349;"PHFRO";7;20/6/2021 00:00:00
10350;"CÉDAU";6;23/6/2021 00:00:00
10351;"CHLEC";1;23/6/2021 00:00:00
10352;"LOHUE";3;24/6/2021 00:00:00
10353;"BETIZ";7;25/6/2021 00:00:00
10354;"SORET";4;26/6/2021 00:00:00
10355;"CLHAL";6;27/6/2021 00:00:00
10356;"PAJAL";6;30/6/2021 00:00:00
10357;"JEMAN";1;2/6/2021 00:00:00
10358;"CÉDAU";5;2/6/2021 00:00:00
10359;"MAEUS";5;3/6/2021 00:00:00
10360;"JEBOR";4;4/6/2021 00:00:00
10361;"ARBLA";1;4/6/2021 00:00:00
10362;"FAMAR";3;7/6/2021 00:00:00
10363;"ERBEC";4;8/6/2021 00:00:00
10364;"DIDAL";1;8/6/2021 00:00:00
10365;"SEADI";3;9/6/2021 00:00:00
10366;"SAJOU";5;10/6/2021 00:00:00
10367;"ZOHED";7;10/6/2021 00:00:00
10368;"CHLEC";6;11/6/2021 00:00:00
10369;"PHFRO";7;14/6/2021 00:00:00
10370;"SYLEJ";6;15/6/2021 00:00:00
10371;"CÉDAU";1;15/6/2021 00:00:00
10372;"PABEL";5;16/6/2021 00:00:00
10373;"ERSWE";4;17/6/2021 00:00:00
10374;"DELE ";1;17/6/2021 00:00:00
10375;"PASAU";3;18/6/2021 00:00:00
10376;"JÉBAZ";1;21/6/2021 00:00:00
10377;"MAEUS";1;21/6/2021 00:00:00
10378;"REDAN";5;22/6/2021 00:00:00
10379;"BEAVI";9;23/6/2021 00:00:00
10380;"ERSWE";10;24/6/2021 00:00:00
10381;"JEMAN";3;24/6/2021 00:00:00
10382;"CHLEC";4;25/6/2021 00:00:00
10383;"CLHAL";11;28/6/2021 00:00:00
10384;"JEHOU";3;28/6/2021 00:00:00
10385;"PHFRO";1;29/6/2021 00:00:00
10386;"ALAUV";9;30/6/2021 00:00:00
10387;"ALDUV";1;30/6/2021 00:00:00
10388;"MAEUS";12;30/6/2021 00:00:00
10389;"GESEF";4;2/6/2021 00:00:00
10390;"CHLEC";6;4/6/2021 00:00:00
10391;"ERBEC";3;4/6/2021 00:00:00
10392;"BETIZ";1;5/6/2021 00:00:00
10393;"MOELK";1;6/6/2021 00:00:00
10394;"PASAU";1;6/6/2021 00:00:00
10395;"NAROU";6;7/6/2021 00:00:00
10396;"ERDEB";1;8/6/2021 00:00:00
10397;"VIVAN";5;8/6/2021 00:00:00
10398;"MOELK";3;11/6/2021 00:00:00
10399;"ZOHED";4;12/6/2021 00:00:00
10400;"DIDAL";1;13/6/2021 00:00:00
10401;"ALCLE";1;13/6/2021 00:00:00
10402;"CHLEC";5;14/6/2021 00:00:00
10403;"CHLEC";4;15/6/2021 00:00:00
10404;"NISCH";6;15/6/2021 00:00:00
10405;"RARAB";1;18/6/2021 00:00:00
10406;"PABEL";7;19/6/2021 00:00:00
10407;"OLLHE";7;19/6/2021 00:00:00
10408;"CHBON";9;20/6/2021 00:00:00
10409;"RIDAB";3;21/6/2021 00:00:00
10410;"GESEF";3;22/6/2021 00:00:00
10411;"GESEF";9;22/6/2021 00:00:00
10412;"CLJAN";10;25/6/2021 00:00:00
10413;"CÉDAU";3;26/6/2021 00:00:00
10414;"ALAUV";11;26/6/2021 00:00:00
10415;"PASAU";3;27/6/2021 00:00:00
10416;"CLJAN";12;28/6/2021 00:00:00
10417;"OLFER";4;28/6/2021 00:00:00
10418;"ARBLA";4;29/6/2021 00:00:00
10419;"ERDUR";4;2/6/2021 00:00:00
10420;"YAKAL";3;3/6/2021 00:00:00
10421;"BEAVI";1;3/6/2021 00:00:00
10422;"LEHOS";3;4/6/2021 00:00:00
10423;"BRLEH";6;5/6/2021 00:00:00
10424;"JÉBAZ";7;5/6/2021 00:00:00
10425;"CÉDAU";6;6/6/2021 00:00:00
10426;"SAJOU";4;9/6/2021 00:00:00
10427;"BETIZ";4;9/6/2021 00:00:00
10428;"DACOU";7;10/6/2021 00:00:00
10429;"ERSWE";3;11/6/2021 00:00:00
10430;"CHLEC";4;12/6/2021 00:00:00
10431;"GESEF";4;12/6/2021 00:00:00
10432;"PHFRO";3;13/6/2021 00:00:00
10433;"VIVAN";3;16/6/2021 00:00:00
10434;"REDAN";3;16/6/2021 00:00:00
10435;"CHNIE";4;17/6/2021 00:00:00
10436;"JEBOR";3;18/6/2021 00:00:00
10437;"CLJAN";5;18/6/2021 00:00:00
10438;"DIGOM";3;19/6/2021 00:00:00
10439;"JÉBAZ";6;20/6/2021 00:00:00
10440;"MOELK";4;23/6/2021 00:00:00
10441;"PILED";3;23/6/2021 00:00:00
10442;"CHLEC";3;24/6/2021 00:00:00
10443;"DACOU";6;25/6/2021 00:00:00
